en,fr
-,-
"By releasing stench when attacking, this Pokémon may cause the target to flinch.",Le Pokémon émet une odeur si nauséabonde qu’il peut effrayer sa cible.
The Pokémon makes it rain when it enters a battle.,Le Pokémon invoque la pluie quand il entre au combat.
Its Speed stat is boosted every turn.,La Vitesse du Pokémon augmente à chaque tour.
Hard armor protects the Pokémon from critical hits.,Le Pokémon est protégé des coups critiques par une solide carapace.
"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Le Pokémon encaisse toujours au moins une attaque s’il a tous ses PV. Il est également immunisé contre les capacités pouvant mettre K.O. en un coup.
"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.","Le Pokémon augmente l’humidité de l’air, ce qui empêche tous les Pokémon d’utiliser des capacités explosives telles que Destruction."
Its limber body protects the Pokémon from paralysis.,"Le Pokémon s’est suffisamment échauffé, ce qui l’immunise contre la paralysie."
Boosts the Pokémon’s evasiveness in a sandstorm.,Augmente l’Esquive du Pokémon lors des tempêtes de sable.
"The Pokémon is charged with static electricity, so contact with it may cause paralysis.","Le Pokémon charge son corps en électricité statique, et tout contact avec lui peut paralyser."
Restores HP if hit by an Electric-type move instead of taking damage.,"Si le Pokémon est touché par une capacité Électrik, il ne subit aucun dégât et regagne des PV à la place."
Restores HP if hit by a Water-type move instead of taking damage.,"Si le Pokémon est touché par une capacité Eau, il ne subit aucun dégât et regagne des PV à la place."
"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.","Le Pokémon est un grand benêt, ce qui l’immunise contre l’attraction ou la provocation."
Eliminates the effects of weather.,Annule tous les effets liés à la météo.
The Pokémon’s compound eyes boost its accuracy.,Les yeux à facettes du Pokémon augmentent sa Précision.
The Pokémon is suffering from insomnia and cannot fall asleep.,Le Pokémon est incapable de dormir.
The Pokémon’s type becomes the type of the move used on it.,"Lorsque le Pokémon est touché par une capacité, il prend le type de celle-ci."
The immune system of the Pokémon prevents it from getting poisoned.,Le Pokémon est naturellement immunisé contre toute forme de poison.
Powers up the Pokémon’s Fire-type moves if it’s hit by one.,"Lorsque le Pokémon est touché par une capacité de type Feu, il absorbe la chaleur pour renforcer ses propres capacités Feu."
This Pokémon’s dust blocks the additional effects of attacks taken.,Le Pokémon dispose d’un écran naturel qui le protège des effets additionnels des attaques ennemies.
"This Pokémon has its own tempo, and that prevents it from becoming confused.","Le Pokémon vit sa vie à son propre rythme, ce qui l’immunise contre la confusion."
This Pokémon uses suction cups to stay in one spot to negate all moves and items that force switching out.,"Le Pokémon est solidement fixé au sol, ce qui le protège des capacités ou objets qui font changer de Pokémon."
"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.","Le Pokémon rugit lorsqu’il arrive au combat, ce qui intimide l’ennemi et baisse son Attaque."
This Pokémon steps on the opposing Pokémon’s shadow to prevent it from escaping.,Empêche les Pokémon ennemis de quitter le combat.
